fold_id,model_type,n_train_windows,n_val_windows,n_test_windows,accuracy,macro_f1,val_accuracy,val_macro_f1,train_seconds,inference_ms,fold_seed
intra_loso_session__VP_04__2026-03-25_15-12-50_5rep,svm,7931,0,1528,0.3579842931937173,0.1760824078544986,,,4.02180290222168,0.307893253745833,1781016909
intra_loso_session__VP_04__2026-03-26_14-55-57_manual,svm,5957,0,3502,0.5105653912050258,0.2086578124635509,,,2.8864450454711914,0.3122844265774956,1644450078
intra_loso_session__VP_04__2026-03-27_10-48-46_manual,svm,7961,0,1498,0.1021361815754339,0.0926711084191399,,,4.867036819458008,0.3859880610365415,632569951
intra_loso_session__VP_06__2026-05-04_11-21-18_3rep,svm,5513,0,2054,0.7882181110029212,0.5709404579789291,,,1.3638360500335691,0.1600970311893808,1707686315
intra_loso_session__VP_06__2026-05-04_11-31-06_3rep,svm,5514,0,2053,0.7730150998538724,0.5910117417923987,,,1.4284918308258057,0.165979512656426,1782292972
intra_loso_session__VP_06__2026-05-04_11-36-55_3rep,svm,6144,0,1423,0.6549543218552354,0.5091646745102084,,,1.4416999816894531,0.1587078593100616,429904181
intra_loso_session__VP_06__2026-05-04_11-57-35_3rep,svm,5530,0,2037,0.7933235149729995,0.6236496585801383,,,1.2888598442077637,0.1623377708693491,1087509221
intra_loso_session__VP_12__2026-05-04_14-30-45_5rep,svm,7914,0,4282,0.762260625875759,0.7153225362983289,,,2.343787908554077,0.2185570085677851,1775932615
intra_loso_session__VP_12__2026-05-04_14-45-30_3rep,svm,11057,0,1139,0.8797190517998245,0.8665010591604045,,,4.264575958251953,0.2797997971183904,1094939509
intra_loso_session__VP_12__2026-05-04_14-46-56_3rep,svm,11056,0,1140,0.8991228070175439,0.8971217055093623,,,4.199630975723267,0.2783369599727162,303329162
intra_loso_session__VP_12__2026-05-04_14-51-35_3rep,svm,11057,0,1139,0.7181738366988587,0.6131873858848215,,,4.124401092529297,0.2706276941341303,314214994
intra_loso_session__VP_12__2026-05-04_14-57-16_3rep,svm,11057,0,1139,0.8832309043020193,0.8925497903237172,,,4.26110577583313,0.2788042582578048,1066231802
intra_loso_session__VP_12__2026-05-04_14-58-52_3rep,svm,11057,0,1139,0.746268656716418,0.7125662315786897,,,4.036543130874634,0.2661000436811305,1859380097
intra_loso_session__VP_12__2026-05-04_15-00-08_3rep,svm,9978,0,2218,0.8101893597835889,0.6398880170311019,,,3.154264211654663,0.2310118017377243,555000349
intra_loso_session__VP_13__2026-05-06_12-30-00_3rep,svm,11304,0,1140,0.6991228070175438,0.648564683700669,,,3.835437774658203,0.2204938938743189,1667161958
intra_loso_session__VP_13__2026-05-06_12-36-17_3rep,svm,10259,0,2185,0.8718535469107551,0.697372411481298,,,3.363503932952881,0.2196534547434791,1333694812
